STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,REPORT_TYPE,SOURCE,Sunrise,Sunset,DailyAverageDewPointTemperature,DailyAverageDryBulbTemperature,DailyAverageRelativeHumidity,DailyAverageSeaLevelPressure,DailyAverageStationPressure,DailyAverageWetBulbTemperature,DailyAverageWindSpeed,DailyCoolingDegreeDays,DailyDepartureFromNormalAverageTemperature,DailyHeatingDegreeDays,DailyMaximumDryBulbTemperature,DailyMinimumDryBulbTemperature,DailyPeakWindDirection,DailyPeakWindSpeed,DailyPrecipitation,DailySnowDepth,DailySnowfall,DailySustainedWindDirection,DailySustainedWindSpeed,DailyWeather,REM
72605014745,2021-01-01T23:59:00,43.20488,-71.50257,103.1,"CONCORD ASOS, NH US",SOD  ,6,718,1621,18,28,62,30.4,29.98,26,3.3,0,6.3,37,36,20,320,14,0.04,2,0.3,330,10,SN BR,SOD76024 HR PRECIPITATION (IN): 0.04 SNOW DEPTH (IN):2     24 HR SNOWFALL (IN):0.3  WEATHER(CODE):1  24 HR MAX TEMP (F): 3624 HR MIN TEMP (F): 20AVERAGE STATION PRESSURE(D):29.985 MINIMUM SEA LEVEL PRESSURE:30.17 TIME OF OCCURRENCE:2359 PEAK WIND SPEED (MPH): 14 PEAK WIND DIR (DEG):320 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH): 10FASTEST 2MIN DIR (DEG):330 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH): 3.3 24 HR AVG TEMP (F): 28DEPART FROM NORMAL:  6  HEATING DEGREE DAYS: 37 COOLING DEGREE DAYS:  0 LATEST DAY MAX TEMP (0700-1900 LST): 36 LATEST NIGHT MIN TEMP(1900-0800 LST):20 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.04
72605014745,2021-01-02T23:59:00,43.20488,-71.50257,103.1,"CONCORD ASOS, NH US",SOD  ,6,718,1622,28,33,83,29.89,29.5,31,8.5,0,11.5,32,38,28,320,32,0.53,3,1.1,320,25,RA FZRA SN FZFG BR UP FG,SOD75724 HR PRECIPITATION (IN): 0.53 SNOW DEPTH (IN):3     24 HR SNOWFALL (IN):1.1  WEATHER(CODE):16  24 HR MAX TEMP (F): 3824 HR MIN TEMP (F): 28AVERAGE STATION PRESSURE:29.500 MINIMUM SEA LEVEL PRESSURE:29.64 TIME OF OCCURRENCE:1021 PEAK WIND SPEED (MPH): 32 PEAK WIND DIR (DEG):320 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH): 25FASTEST 2MIN DIR (DEG):320 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH): 8.5 24 HR AVG TEMP (F): 33DEPART FROM NORMAL: 11  HEATING DEGREE DAYS: 32 COOLING DEGREE DAYS:  0 LATEST DAY MAX TEMP (0700-1900 LST):38  LATEST NIGHT MIN TEMP(1900-0800 LST):28 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.11 0.05 0.05 0.04 0.05 0.04 0.06 0.03 0.05 0.03 T    0.01 0.01 0.00 0.00 0.00 0.00 T    0.00 T    0.00 0.00 0.00 0.00
72605014745,2021-01-03T23:59:00,43.20488,-71.50257,103.1,"CONCORD ASOS, NH US",SOD  ,6,718,1623,22,25,84,30.13,29.73,25,2.4,0,3.7,40,31,18,80,11,0.01,2,0.4,80,8,SN BR,SOD75624 HR PRECIPITATION (IN): 0.01 SNOW DEPTH (IN):2     24 HR SNOWFALL (IN):0.4  WEATHER(CODE):1  24 HR MAX TEMP (F): 3124 HR MIN TEMP (F): 18AVERAGE STATION PRESSURE:29.735 MINIMUM SEA LEVEL PRESSURE:30.03 TIME OF OCCURRENCE:2359 PEAK WIND SPEED (MPH): 11 PEAK WIND DIR (DEG): 80 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH):  8FASTEST 2MIN DIR (DEG): 80 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH): 2.4 24 HR AVG TEMP (F): 25DEPART FROM NORMAL:  4  HEATING DEGREE DAYS: 40 COOLING DEGREE DAYS:  0 LATEST DAY MAX TEMP (0700-1900 LST):31  LATEST NIGHT MIN TEMP(1900-0800 LST):18 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 T    T    0.00 T    0.00 T    T    T    0.01 T    0.00 0.00
72605014745,2021-01-04T23:59:00,43.20488,-71.50257,103.1,"CONCORD ASOS, NH US",SOD  ,6,718,1624,25,32,80,29.99,29.6,28,4.1,0,10.9,33,39,24,30,17,0,2,0,30,14,,SOD73924 HR PRECIPITATION (IN): 0.00 SNOW DEPTH (IN):2     24 HR SNOWFALL (IN):0.0  24 HR MAX TEMP (F): 3924 HR MIN TEMP (F): 24AVERAGE STATION PRESSURE:29.605 MINIMUM SEA LEVEL PRESSURE:29.94 TIME OF OCCURRENCE:2359 PEAK WIND SPEED (MPH): 17 PEAK WIND DIR (DEG): 30 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH): 14FASTEST 2MIN DIR (DEG): 30 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH): 4.1 24 HR AVG TEMP (F): 32DEPART FROM NORMAL: 11  HEATING DEGREE DAYS: 33 COOLING DEGREE DAYS:  0 LATEST DAY MAX TEMP (0700-1900 LST):39  LATEST NIGHT MIN TEMP(1900-0800 LST):26 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
72605014745,2021-01-05T23:59:00,43.20488,-71.50257,103.1,"CONCORD ASOS, NH US",SOD  ,6,718,1625,25,30,81,29.94,29.55,28,5.2,0,9,35,33,26,30,18,T,2,0.1,20,13,SN,SOD75324 HR PRECIPITATION (IN):    T SNOW DEPTH (IN):2     24 HR SNOWFALL (IN):0.1  WEATHER(CODE):1  24 HR MAX TEMP (F): 3324 HR MIN TEMP (F): 26AVERAGE STATION PRESSURE:29.550 MINIMUM SEA LEVEL PRESSURE:29.90 TIME OF OCCURRENCE:1347 PEAK WIND SPEED (MPH): 18 PEAK WIND DIR (DEG): 30 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH): 13FASTEST 2MIN DIR (DEG): 20 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH): 5.2 24 HR AVG TEMP (F): 30DEPART FROM NORMAL:  9  HEATING DEGREE DAYS: 35 COOLING DEGREE DAYS:  0 LATEST DAY MAX TEMP (0700-1900 LST):33  LATEST NIGHT MIN TEMP(1900-0800 LST):24 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 T    0.00 0.00 0.00 0.00 T    T    T    0.00 0.00 0.00 0.00 T    T
72605014745,2021-01-06T23:59:00,43.20488,-71.50257,103.1,"CONCORD ASOS, NH US",SOD  ,6,718,1626,21,30,70,29.91,29.52,27,9.5,0,9.2,35,33,27,310,25,T,3,0.2,300,20,SN BR,SOD75624 HR PRECIPITATION (IN):    T SNOW DEPTH (IN):3     24 HR SNOWFALL (IN):0.2  WEATHER(CODE):1  24 HR MAX TEMP (F): 3324 HR MIN TEMP (F): 27AVERAGE STATION PRESSURE:29.515 MINIMUM SEA LEVEL PRESSURE:29.87 TIME OF OCCURRENCE:0512 PEAK WIND SPEED (MPH): 25 PEAK WIND DIR (DEG):310 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH): 20FASTEST 2MIN DIR (DEG):300 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH): 9.5 24 HR AVG TEMP (F): 30DEPART FROM NORMAL:  9  HEATING DEGREE DAYS: 35 COOLING DEGREE DAYS:  0 LATEST DAY MAX TEMP (0700-1900 LST):33  LATEST NIGHT MIN TEMP(1900-0800 LST):28 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):    T    T    0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 T    T    0.00 0.00 T    0.00 0.00 0.00 0.00 T    0.00
72605014745,2021-01-07T23:59:00,43.20488,-71.50257,103.1,"CONCORD ASOS, NH US",SOD  ,6,718,1627,17,31,61,30.01,29.61,25,12.4,0,10.3,34,36,25,300,26,T,3,T,310,21,SN,SOD73924 HR PRECIPITATION (IN):    T SNOW DEPTH (IN):3     24 HR SNOWFALL (IN):T    24 HR MAX TEMP (F): 3624 HR MIN TEMP (F): 25AVERAGE STATION PRESSURE:29.610 MINIMUM SEA LEVEL PRESSURE:29.94 TIME OF OCCURRENCE:0021 PEAK WIND SPEED (MPH): 26 PEAK WIND DIR (DEG):300 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH): 21FASTEST 2MIN DIR (DEG):310 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH):12.4 24 HR AVG TEMP (F): 31DEPART FROM NORMAL: 10  HEATING DEGREE DAYS: 34 COOLING DEGREE DAYS:  0 LATEST DAY MAX TEMP (0700-1900 LST):36  LATEST NIGHT MIN TEMP(1900-0800 LST):26 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 T    T    T    T    T    0.00 0.00 0.00 0.00 0.00 0.00 0.00
72605014745,2021-01-08T23:59:00,43.20488,-71.50257,103.1,"CONCORD ASOS, NH US",SOD  ,6,718,1628,13,29,56,29.93,29.55,23,12.2,0,8.4,36,36,21,330,29,0,3,0,330,22,,SOD73924 HR PRECIPITATION (IN): 0.00 SNOW DEPTH (IN):3     24 HR SNOWFALL (IN):0.0  24 HR MAX TEMP (F): 3624 HR MIN TEMP (F): 21AVERAGE STATION PRESSURE:29.550 MINIMUM SEA LEVEL PRESSURE:29.86 TIME OF OCCURRENCE:1508 PEAK WIND SPEED (MPH): 29 PEAK WIND DIR (DEG):330 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH): 22FASTEST 2MIN DIR (DEG):330 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH):12.2 24 HR AVG TEMP (F): 29DEPART FROM NORMAL:  8  HEATING DEGREE DAYS: 36 COOLING DEGREE DAYS:  0 LATEST DAY MAX TEMP (0700-1900 LST):36  LATEST NIGHT MIN TEMP(1900-0800 LST):22 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
72605014745,2021-01-09T23:59:00,43.20488,-71.50257,103.1,"CONCORD ASOS, NH US",SOD  ,6,718,1629,13,25,58,29.87,29.47,22,7.7,0,4.5,40,34,15,310,20,0,3,0,330,15,,SOD73924 HR PRECIPITATION (IN): 0.00 SNOW DEPTH (IN):3     24 HR SNOWFALL (IN):0.0  24 HR MAX TEMP (F): 3424 HR MIN TEMP (F): 15AVERAGE STATION PRESSURE:29.470 MINIMUM SEA LEVEL PRESSURE:29.81 TIME OF OCCURRENCE:1418 PEAK WIND SPEED (MPH): 20 PEAK WIND DIR (DEG):310 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH): 15FASTEST 2MIN DIR (DEG):330 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH): 7.7 24 HR AVG TEMP (F): 25DEPART FROM NORMAL:  5  HEATING DEGREE DAYS: 40 COOLING DEGREE DAYS:  0 LATEST DAY MAX TEMP (0700-1900 LST):34  LATEST NIGHT MIN TEMP(1900-0800 LST):15 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
72605014745,2021-01-10T23:59:00,43.20488,-71.50257,103.1,"CONCORD ASOS, NH US",SOD  ,6,717,1630,15,27,62,30.15,29.72,24,6,0,6.6,38,38,16,310,20,0,3,0,320,14,,SOD73924 HR PRECIPITATION (IN): 0.00 SNOW DEPTH (IN):3     24 HR SNOWFALL (IN):0.0  24 HR MAX TEMP (F): 3824 HR MIN TEMP (F): 16AVERAGE STATION PRESSURE:29.720 MINIMUM SEA LEVEL PRESSURE:29.95 TIME OF OCCURRENCE:0012 PEAK WIND SPEED (MPH): 20 PEAK WIND DIR (DEG):310 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH): 14FASTEST 2MIN DIR (DEG):320 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH): 6.0 24 HR AVG TEMP (F): 27DEPART FROM NORMAL:  7  HEATING DEGREE DAYS: 38 COOLING DEGREE DAYS:  0 LATEST DAY MAX TEMP (0700-1900 LST):38  LATEST NIGHT MIN TEMP(1900-0800 LST):21 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
